+----+-----------------+------------+-------+---------+
|    | Package         |   Accuracy |   Lag |   alpha |
|  4 | statsmodels     |       0.65 |     5 |      18 |
|  5 | statsmodels     |       0.8  |     6 |      18 |
|  6 | statsmodels     |       0.65 |     7 |      18 |
|  0 | vars            |       0.95 |     1 |      18 |
|  1 | vars            |       0.95 |     2 |      18 |
|  2 | vars            |       0.9  |     3 |      18 |
|  3 | vars            |       0.8  |     4 |      18 |
|  4 | vars            |       0.8  |     5 |      18 |
|  5 | vars            |       0.8  |     6 |      18 |
|  6 | vars            |       0.85 |     7 |      18 |
|  0 | lmtest          |       0.95 |     1 |      18 |
|  1 | lmtest          |       0.95 |     2 |      18 |
|  2 | lmtest          |       0.9  |     3 |      18 |
|  3 | lmtest          |       0.8  |     4 |      18 |
|  4 | lmtest          |       0.8  |     5 |      18 |
|  5 | lmtest          |       0.8  |     6 |      18 |
|  6 | lmtest          |       0.85 |     7 |      18 |
|  0 | VLTimeCausality |       1    |     1 |      18 |
|  1 | VLTimeCausality |       1    |     2 |      18 |
|  2 | VLTimeCausality |       1    |     3 |      18 |
|  3 | VLTimeCausality |       0.95 |     4 |      18 |
|  4 | VLTimeCausality |       0.95 |     5 |      18 |
|  5 | VLTimeCausality |       0.95 |     6 |      18 |
|  6 | VLTimeCausality |       0.95 |     7 |      18 |
|  0 | NlinTS          |       0.5  |     1 |      18 |
|  1 | NlinTS          |       0.5  |     2 |      18 |
|  2 | NlinTS          |       0.5  |     3 |      18 |
|  3 | NlinTS          |       0.5  |     4 |      18 |
|  4 | NlinTS          |       0.5  |     5 |      18 |
|  5 | NlinTS          |       0.5  |     6 |      18 |
|  6 | NlinTS          |       0.5  |     7 |      18 |
|  0 | statsmodels     |       0.85 |     1 |      20 |
|  1 | statsmodels     |       0.85 |     2 |      20 |
|  2 | statsmodels     |       0.8  |     3 |      20 |
|  3 | statsmodels     |       0.8  |     4 |      20 |
|  4 | statsmodels     |       0.65 |     5 |      20 |
|  5 | statsmodels     |       0.8  |     6 |      20 |
|  6 | statsmodels     |       0.65 |     7 |      20 |
|  0 | vars            |       0.95 |     1 |      20 |
|  1 | vars            |       0.95 |     2 |      20 |
|  2 | vars            |       0.9  |     3 |      20 |
|  3 | vars            |       0.8  |     4 |      20 |
|  4 | vars            |       0.8  |     5 |      20 |
|  5 | vars            |       0.8  |     6 |      20 |
|  6 | vars            |       0.85 |     7 |      20 |
|  0 | lmtest          |       0.95 |     1 |      20 |
|  1 | lmtest          |       0.95 |     2 |      20 |
|  2 | lmtest          |       0.9  |     3 |      20 |
|  3 | lmtest          |       0.8  |     4 |      20 |
|  4 | lmtest          |       0.8  |     5 |      20 |
|  5 | lmtest          |       0.8  |     6 |      20 |
|  6 | lmtest          |       0.85 |     7 |      20 |
|  0 | VLTimeCausality |       1    |     1 |      20 |
|  1 | VLTimeCausality |       1    |     2 |      20 |
|  2 | VLTimeCausality |       1    |     3 |      20 |
|  3 | VLTimeCausality |       0.95 |     4 |      20 |
|  4 | VLTimeCausality |       0.95 |     5 |      20 |
|  5 | VLTimeCausality |       0.95 |     6 |      20 |
|  6 | VLTimeCausality |       0.95 |     7 |      20 |
|  0 | NlinTS          |       0.5  |     1 |      20 |
|  1 | NlinTS          |       0.5  |     2 |      20 |
|  2 | NlinTS          |       0.5  |     3 |      20 |
|  3 | NlinTS          |       0.5  |     4 |      20 |
|  4 | NlinTS          |       0.5  |     5 |      20 |
|  5 | NlinTS          |       0.5  |     6 |      20 |
|  6 | NlinTS          |       0.5  |     7 |      20 |
+----+-----------------+------------+-------+---------+
