+----+-----------------+----------------+--------------+-------------+-------+--------+
|    | Package         | Type           |         Corr |           p |   Lag |   beta |
|  9 | statsmodels     | Pearson        | -0.342485    | 0.000486843 |     5 |     10 |
| 10 | statsmodels     | Point-Biserial | -0.276732    | 0.00221558  |     6 |     10 |
| 11 | statsmodels     | Pearson        | -0.372281    | 2.82697e-05 |     6 |     10 |
| 12 | statsmodels     | Point-Biserial | -0.252385    | 0.00262671  |     7 |     10 |
| 13 | statsmodels     | Pearson        | -0.296049    | 0.000383119 |     7 |     10 |
|  0 | vars            | Point-Biserial | -0.582737    | 0.00700945  |     1 |     10 |
|  1 | vars            | Pearson        | -0.711824    | 0.000431262 |     1 |     10 |
|  2 | vars            | Point-Biserial | -0.293948    | 0.0656145   |     2 |     10 |
|  3 | vars            | Pearson        | -0.430197    | 0.00559324  |     2 |     10 |
|  4 | vars            | Point-Biserial | -0.284913    | 0.0273524   |     3 |     10 |
|  5 | vars            | Pearson        | -0.49905     | 4.93478e-05 |     3 |     10 |
|  6 | vars            | Point-Biserial | -0.271786    | 0.0147377   |     4 |     10 |
|  7 | vars            | Pearson        | -0.519238    | 8.01983e-07 |     4 |     10 |
|  8 | vars            | Point-Biserial | -0.260651    | 0.00881414  |     5 |     10 |
|  9 | vars            | Pearson        | -0.534092    | 1.04894e-08 |     5 |     10 |
| 10 | vars            | Point-Biserial | -0.234429    | 0.0099611   |     6 |     10 |
| 11 | vars            | Pearson        | -0.530718    | 4.51687e-10 |     6 |     10 |
| 12 | vars            | Point-Biserial | -0.182947    | 0.0304991   |     7 |     10 |
| 13 | vars            | Pearson        | -0.495113    | 5.01577e-10 |     7 |     10 |
|  0 | lmtest          | Point-Biserial | -0.582803    | 0.00700149  |     1 |     10 |
|  1 | lmtest          | Pearson        | -0.711867    | 0.000430767 |     1 |     10 |
|  2 | lmtest          | Point-Biserial | -0.293942    | 0.0656206   |     2 |     10 |
|  3 | lmtest          | Pearson        | -0.43023     | 0.00558923  |     2 |     10 |
|  4 | lmtest          | Point-Biserial | -0.284879    | 0.0273714   |     3 |     10 |
|  5 | lmtest          | Pearson        | -0.499066    | 4.93143e-05 |     3 |     10 |
|  6 | lmtest          | Point-Biserial | -0.27173     | 0.014759    |     4 |     10 |
|  7 | lmtest          | Pearson        | -0.519223    | 8.02661e-07 |     4 |     10 |
|  8 | lmtest          | Point-Biserial | -0.260583    | 0.0088324   |     5 |     10 |
|  9 | lmtest          | Pearson        | -0.534095    | 1.04868e-08 |     5 |     10 |
| 10 | lmtest          | Point-Biserial | -0.234306    | 0.0100012   |     6 |     10 |
