+----+-----------------+----------------+--------------+-------------+-------+------------------+
|    | Package         | Type           |         Corr |           p |   Lag |   decay_strength |
|  0 | VLTimeCausality | Point-Biserial | -0.686846    | 0.000822435 |     1 |          1.66667 |
|  1 | VLTimeCausality | Pearson        | -0.919276    | 1.02841e-08 |     1 |          1.66667 |
|  2 | VLTimeCausality | Point-Biserial | -0.429433    | 0.0056877   |     2 |          1.66667 |
|  3 | VLTimeCausality | Pearson        | -0.606081    | 3.40315e-05 |     2 |          1.66667 |
|  4 | VLTimeCausality | Point-Biserial | -0.368786    | 0.00373801  |     3 |          1.66667 |
|  5 | VLTimeCausality | Pearson        | -0.435046    | 0.000513329 |     3 |          1.66667 |
|  6 | VLTimeCausality | Point-Biserial | -0.327214    | 0.00305009  |     4 |          1.66667 |
|  7 | VLTimeCausality | Pearson        | -0.400752    | 0.000229886 |     4 |          1.66667 |
|  8 | VLTimeCausality | Point-Biserial | -0.339828    | 0.000541976 |     5 |          1.66667 |
|  9 | VLTimeCausality | Pearson        | -0.460931    | 1.39371e-06 |     5 |          1.66667 |
| 10 | VLTimeCausality | Point-Biserial | -0.304063    | 0.000734711 |     6 |          1.66667 |
| 11 | VLTimeCausality | Pearson        | -0.399375    | 6.22381e-06 |     6 |          1.66667 |
| 12 | VLTimeCausality | Point-Biserial | -0.296796    | 0.000369673 |     7 |          1.66667 |
| 13 | VLTimeCausality | Pearson        | -0.411681    | 4.34203e-07 |     7 |          1.66667 |
|  0 | NlinTS          | Point-Biserial |  0.312812    | 0.179319    |     1 |          1.66667 |
|  1 | NlinTS          | Pearson        | -0.0736764   | 0.757554    |     1 |          1.66667 |
|  2 | NlinTS          | Point-Biserial |  0.143673    | 0.37645     |     2 |          1.66667 |
|  3 | NlinTS          | Pearson        |  0.229416    | 0.154442    |     2 |          1.66667 |
|  4 | NlinTS          | Point-Biserial |  0.0883175   | 0.502203    |     3 |          1.66667 |
|  5 | NlinTS          | Pearson        |  0.0976392   | 0.457981    |     3 |          1.66667 |
|  6 | NlinTS          | Point-Biserial |  0.0702396   | 0.535837    |     4 |          1.66667 |
|  7 | NlinTS          | Pearson        | -6.93889e-18 | 1           |     4 |          1.66667 |
|  8 | NlinTS          | Point-Biserial |  0.0777292   | 0.442081    |     5 |          1.66667 |
|  9 | NlinTS          | Pearson        |  0.0458831   | 0.650332    |     5 |          1.66667 |
| 10 | NlinTS          | Point-Biserial |  0.0975015   | 0.289408    |     6 |          1.66667 |
| 11 | NlinTS          | Pearson        | -0.0118108   | 0.898124    |     6 |          1.66667 |
| 12 | NlinTS          | Point-Biserial |  0.0771835   | 0.364717    |     7 |          1.66667 |
| 13 | NlinTS          | Pearson        | -0.0831117   | 0.328934    |     7 |          1.66667 |
|  0 | statsmodels     | Point-Biserial | -0.564844    | 0.00946194  |     1 |          1.88889 |
|  1 | statsmodels     | Pearson        | -0.715132    | 0.000393982 |     1 |          1.88889 |
|  2 | statsmodels     | Point-Biserial | -0.340654    | 0.0314793   |     2 |          1.88889 |
|  3 | statsmodels     | Pearson        | -0.327326    | 0.0392338   |     2 |          1.88889 |
|  4 | statsmodels     | Point-Biserial | -0.302614    | 0.0187672   |     3 |          1.88889 |
|  5 | statsmodels     | Pearson        | -0.328256    | 0.0104507   |     3 |          1.88889 |
|  6 | statsmodels     | Point-Biserial | -0.265394    | 0.017349    |     4 |          1.88889 |
|  7 | statsmodels     | Pearson        | -0.365833    | 0.000846593 |     4 |          1.88889 |
|  8 | statsmodels     | Point-Biserial | -0.266552    | 0.00734706  |     5 |          1.88889 |
|  9 | statsmodels     | Pearson        | -0.33067     | 0.00077892  |     5 |          1.88889 |
| 10 | statsmodels     | Point-Biserial | -0.24167     | 0.00783297  |     6 |          1.88889 |
| 11 | statsmodels     | Pearson        | -0.296585    | 0.00100452  |     6 |          1.88889 |
| 12 | statsmodels     | Point-Biserial | -0.21645     | 0.0102101   |     7 |          1.88889 |
| 13 | statsmodels     | Pearson        | -0.238488    | 0.00454547  |     7 |          1.88889 |
|  0 | vars            | Point-Biserial | -0.567062    | 0.00912454  |     1 |          1.88889 |
|  1 | vars            | Pearson        | -0.731578    | 0.000246641 |     1 |          1.88889 |
|  2 | vars            | Point-Biserial | -0.361697    | 0.0218313   |     2 |          1.88889 |
|  3 | vars            | Pearson        | -0.522705    | 0.000539837 |     2 |          1.88889 |
|  4 | vars            | Point-Biserial | -0.27958     | 0.03051     |     3 |          1.88889 |
|  5 | vars            | Pearson        | -0.476815    | 0.000117372 |     3 |          1.88889 |
|  6 | vars            | Point-Biserial | -0.243072    | 0.0298118   |     4 |          1.88889 |
|  7 | vars            | Pearson        | -0.508977    | 1.42899e-06 |     4 |          1.88889 |
