+----+-------------+----------------+-----------+-------------+-------+------------------+
|    | Package     | Type           |      Corr |           p |   Lag |   decay_strength |
|  6 | vars        | Point-Biserial | -0.209745 | 0.0618572   |     4 |          2.33333 |
|  7 | vars        | Pearson        | -0.496348 | 2.83658e-06 |     4 |          2.33333 |
|  8 | vars        | Point-Biserial | -0.188623 | 0.0601867   |     5 |          2.33333 |
|  9 | vars        | Pearson        | -0.4971   | 1.43314e-07 |     5 |          2.33333 |
| 10 | vars        | Point-Biserial | -0.17316  | 0.05858     |     6 |          2.33333 |
| 11 | vars        | Pearson        | -0.496186 | 8.26146e-09 |     6 |          2.33333 |
| 12 | vars        | Point-Biserial | -0.162386 | 0.0552512   |     7 |          2.33333 |
| 13 | vars        | Pearson        | -0.486276 | 1.12219e-09 |     7 |          2.33333 |
|  0 | statsmodels | Point-Biserial | -0.391649 | 0.0876873   |     1 |          2.55556 |
|  1 | statsmodels | Pearson        | -0.544257 | 0.0131035   |     1 |          2.55556 |
|  2 | statsmodels | Point-Biserial | -0.284207 | 0.0755121   |     2 |          2.55556 |
|  3 | statsmodels | Pearson        | -0.508076 | 0.000817068 |     2 |          2.55556 |
|  4 | statsmodels | Point-Biserial | -0.23169  | 0.0748741   |     3 |          2.55556 |
|  5 | statsmodels | Pearson        | -0.497493 | 5.25369e-05 |     3 |          2.55556 |
|  6 | statsmodels | Point-Biserial | -0.201131 | 0.0736164   |     4 |          2.55556 |
|  7 | statsmodels | Pearson        | -0.495862 | 2.91075e-06 |     4 |          2.55556 |
|  8 | statsmodels | Point-Biserial | -0.180156 | 0.0728748   |     5 |          2.55556 |
|  9 | statsmodels | Pearson        | -0.496569 | 1.48475e-07 |     5 |          2.55556 |
| 10 | statsmodels | Point-Biserial | -0.164991 | 0.0717296   |     6 |          2.55556 |
| 11 | statsmodels | Pearson        | -0.495207 | 8.92998e-09 |     6 |          2.55556 |
| 12 | statsmodels | Point-Biserial | -0.154563 | 0.0682447   |     7 |          2.55556 |
| 13 | statsmodels | Pearson        | -0.484879 | 1.27183e-09 |     7 |          2.55556 |
|  0 | vars        | Point-Biserial | -0.391649 | 0.0876873   |     1 |          2.55556 |
|  1 | vars        | Pearson        | -0.544257 | 0.0131035   |     1 |          2.55556 |
|  2 | vars        | Point-Biserial | -0.284207 | 0.0755121   |     2 |          2.55556 |
|  3 | vars        | Pearson        | -0.508076 | 0.000817068 |     2 |          2.55556 |
|  4 | vars        | Point-Biserial | -0.23169  | 0.0748741   |     3 |          2.55556 |
|  5 | vars        | Pearson        | -0.497493 | 5.25369e-05 |     3 |          2.55556 |
